id,name,type,sex,age,study,prices,nationality,twitter
DaBe,Daniel Berehulak,1,1,3,3,2,3,2
NYDN,New York Daily News,2,99,99,99,1,1,1
PP,ProPublica,2,99,99,99,1,1,1
ErEy,Eric Eyre,1,1,4,4,1,1,1
GeRy,Gerard Ryle,1,1,4,1,1,1,1
MaWa,Marina Walker,1,2,99,1,1,3,1
NiNe,Nicholas Nehamas,1,1,2,1,1,1,1
FrOb,Frederik Obermaier,1,1,2,1,1,2,1
BaOb,Bastian Obermayer,1,1,3,2,1,2,1
KeHa,Kevin Hall,1,1,4,4,1,1,1
EBT,East Bay Times,2,99,99,99,1,99,1
SLT,Salt Lake Tribune,2,99,99,99,1,99,1
NYT,New York Times,2,99,99,99,2,99,1
DaFa,David Fahrenthold,1,1,3,3,1,1,1
ChCh,Christopher Chivers,1,1,4,1,1,1,1
PeNo,Peggy Noonan,1,2,5,1,1,1,1
HiAl,Hilton Als,1,1,4,99,1,1,2
ArCu,Art Cullen,1,1,4,1,1,1,1
JiMo,Jim Morin,1,1,5,4,1,1,1
JaWa,E. Jason Wambsgans,1,1,99,4,1,1,1
