id,name,type,nationality,sex,age,category,study,year
SFS,South Florida Sun Sentinel,2,1,99,99,1,99,2019
PPG,The Pittsburgh Post-Gazette,2,1,99,99,2,99,2019
MaHa,Matt Hamilton,1,1,1,27,3,1,2019
HaRy,Harriet Ryan,1,1,2,99,3,1,2019
PaPr,Paul Pringle,1,1,1,64,3,1,2019
DaBa,David Barstow,1,1,1,56,4,1,2019
SuCr,Susanne Craig,1,3,2,99,4,2,2019
RuBu,Russ Buettner,1,1,1,58,4,1,2019
ABR,The Advocate Baton Rouge,2,1,99,99,5,99,2019
WSJ,The Wall Street Journal,2,1,99,99,6,99,2019
MaMi,Maggie Michael,1,3,2,99,7,99,2019
Maal,Maad al Zikry,1,3,1,99,7,3,2019
NaEl,Nariman El-Mofty,1,3,2,99,7,99,2019
RE,Reuters,2,3,99,99,7,99,2019
WaLo,Wa Lone,1,3,1,34,7,99,2019
KySo,Kyaw Soe Oo,1,3,1,99,7,99,2019
HaDr,Hannah Dreier,1,1,2,99,8,3,2019
ToMe,Tony Messenger,1,1,1,99,9,99,2019
CaLo,Carlos Lozada,1,3,1,48,10,2,2019
BrSt,Brent Staples,1,1,1,69,11,3,2019
DarBe,Darrin Bell,1,1,1,44,12,2,2019
RE,Reuters,2,3,99,99,13,99,2019
LoTu,Lorenzo Tugnoli,1,3,1,40,14,3,2019
