from,to,weight
SFS,NiNe,1
SFS,NYT,1
SFS,DaFa,1
SFS,ST,1
SFS,ErLi,1
SFS,CaLe,1
SFS,RoFa,1
SFS,WaPo,1
SFS,AsPr,1
SFS,LAT,1
SFS,LLA,1
SFS,KeAr,2
SFS,MiLa,2
SFS,CaFi,2
SFS,LiGa,2
SFS,AJR,2
SFS,GU,1
SFS,BG,2
SFS,ElSa,2
SFS,WiHo,2
SFS,DaPh,2
SFS,StHe,2
SFS,OR,2
PPG,NYT,1
PPG,WaPo,1
PPG,UsTo,1
PPG,AsPr,1
PPG,LAT,1
PPG,AJR,2
PPG,MaLi,2
PPG,SePo,2
PPG,GU,1
PPG,BG,2
PPG,WiHo,2
PPG,DaPh,2
PPG,JosHa,2
MaHa,HaRy,3
MaHa,PaPr,3
MaHa,DaFa,1
MaHa,ChCh,1
MaHa,ReKi,1
MaHa,DiMa,1
MaHa,MaMc,1
MaHa,RoFa,1
MaHa,WaPo,1
MaHa,AsPr,1
MaHa,LAT,3
MaHa,TCM,1
MaHa,KeAr,1
MaHa,EmNu,1
HaRy,PaPr,3
HaRy,MaHa,3
HaRy,NYT,1
HaRy,AsPr,1
HaRy,LAT,3
HaRy,GU,1
PaPr,MaHa,3
PaPr,HaRy,3
PaPr,NYT,1
PaPr,MaMc,1
PaPr,UsTo,1
PaPr,AsPr,1
PaPr,LAT,3
DaBa,SuCr,3
DaBa,RuBu,3
DaBa,HaDr,1
DaBa,DaBe,2
DaBa,NYT,3
DaBa,DaFa,1
DaBa,ChCh,3
DaBa,ErLi,3
DaBa,CaLe,1
DaBa,KaKi,3
DaBa,JoKa,3
DaBa,MeTw,3
DaBa,RoFa,1
DaBa,WaPo,1
DaBa,UsTo,1
DaBa,AsPr,1
DaBa,TCM,1
DaBa,KeAr,1
DaBa,MiLa,3
DaBa,CaFi,1
DaBa,LiGa,1
DaBa,AJR,3
DaBa,KaSc,3
DaBa,FaSt,3
DaBa,EmNu,3
DaBa,MaLi,3
DaBa,SePo,3
DaBa,TyHi,3
DaBa,DaEt,3
DaBa,GU,1
DaBa,BG,1
DaBa,ChHa,3
DaBa,DaPh,3
SuCr,DaBa,3
SuCr,RuBu,3
SuCr,HaDr,1
SuCr,CaLo,1
SuCr,DaBe,2
SuCr,NYT,3
SuCr,DaFa,1
SuCr,ChCh,3
SuCr,ErLi,3
SuCr,CaLe,1
SuCr,KaKi,3
SuCr,JoKa,3
SuCr,MeTw,3
SuCr,WaPo,1
SuCr,AnCo,1
SuCr,MiLa,3
SuCr,CaFi,1
SuCr,LiGa,1
SuCr,AJR,3
SuCr,KaSc,3
SuCr,FaSt,3
SuCr,EmNu,3
SuCr,MaLi,3
SuCr,SePo,3
SuCr,TyHi,3
SuCr,DaEt,3
SuCr,ChHa,3
SuCr,DaPh,3
RuBu,DaBa,3
RuBu,SuCr,3
RuBu,DaBe,2
RuBu,NYT,3
RuBu,DaFa,1
RuBu,ChCh,3
RuBu,ErLi,3
RuBu,CaLe,1
RuBu,KaKi,3
RuBu,JoKa,3
RuBu,MeTw,3
RuBu,RoFa,1
RuBu,WaPo,1
RuBu,KeAr,1
RuBu,MiLa,3
RuBu,AJR,3
RuBu,KaSc,3
RuBu,FaSt,3
RuBu,EmNu,3
RuBu,MaLi,3
RuBu,SePo,3
RuBu,TyHi,3
RuBu,DaEt,3
RuBu,ChHa,3
RuBu,DaPh,3
ABR,NYT,1
ABR,WaPo,1
ABR,AsPr,1
WSJ,PPG,1
WSJ,MaHa,1
WSJ,PaPr,1
WSJ,DaBa,1
WSJ,MaMi,1
WSJ,RE,1
WSJ,WaLo,1
WSJ,BrSt,1
WSJ,LoTu,2
WSJ,DaBe,2
WSJ,NYT,2
WSJ,PeNo,2
WSJ,PaC,2
WSJ,ST,2
WSJ,ErLi,2
WSJ,MaMc,2
WSJ,StLPD,2
WSJ,RoFa,2
WSJ,JaHa,2
WSJ,MiSl,2
MaMi,Maal,3
MaMi,NaEl,3
MaMi,HaDr,1
MaMi,LoTu,1
MaMi,ChCh,1
MaMi,ST,2
MaMi,LiFa,3
MaMi,WaPo,2
MaMi,UsTo,2
MaMi,AsPr,2
MaMi,SePo,3
MaMi,BG,2
MaMi,ChHa,3
Maal,MaMi,3
Maal,NaEl,3
Maal,ST,2
Maal,LiFa,3
Maal,WaPo,2
Maal,UsTo,2
Maal,AsPr,2
Maal,LAT,2
Maal,SePo,3
NaEl,MaMi,3
NaEl,Maal,3
NaEl,EBT,2
NaEl,SLT,2
NaEl,NYT,2
NaEl,PaC,2
NaEl,ST,2
NaEl,LiFa,3
NaEl,PrDe,2
NaEl,WaPo,2
NaEl,AsPr,2
NaEl,LAT,2
NaEl,SePo,3
NaEl,GU,2
NaEl,BG,2
NaEl,OR,2
RE,PPG,1
RE,MaHa,1
RE,PaPr,1
RE,DaBa,1
RE,MaMi,1
RE,WaLo,2
RE,KySo,2
RE,BrSt,1
RE,DarBe,1
RE,NYT,2
RE,JaWa,2
RE,PaC,2
RE,KaKi,2
RE,JoKa,2
RE,MeTw,2
RE,PrDe,2
RE,WaPo,2
RE,ArRe,2
RE,UsTo,2
RE,CiEn,2
RE,ClBa,3
RE,AnMa,3
RE,MaMo,3
RE,AsPr,1
RE,LAT,1
RE,JeRi,2
RE,GU,2
RE,JaSz,2
RE,JosHa,2
WaLo,RE,2
WaLo,KySo,3
WaLo,KaKi,3
WaLo,MeTw,3
WaLo,ClBa,3
WaLo,AnMa,3
WaLo,MaMo,3
WaLo,JeRi,3
WaLo,JaSz,3
KySo,RE,2
KySo,WaLo,3
KySo,KaKi,3
KySo,MeTw,3
KySo,ClBa,3
KySo,AnMa,3
KySo,MaMo,3
KySo,JeRi,3
KySo,JaSz,3
HaDr,SuCr,1
HaDr,MaMi,2
HaDr,NaEl,2
HaDr,CaLo,3
HaDr,BrSt,1
HaDr,DarBe,3
HaDr,LoTu,3
HaDr,GeRy,2
HaDr,NiNe,1
HaDr,SLT,2
HaDr,NYT,2
HaDr,DaFa,3
HaDr,ST,2
HaDr,RoKu,3
HaDr,CaLe,3
HaDr,LiFa,3
HaDr,KaKi,1
HaDr,PrDe,2
HaDr,WaPo,2
HaDr,UsTo,2
HaDr,AsPr,2
HaDr,TCM,3
HaDr,KeAr,3
HaDr,LiGa,1
HaDr,SePo,3
HaDr,BG,2
HaDr,ChHa,3
HaDr,ElSa,3
HaDr,WiHo,3
HaDr,DaPh,1
ToMe,CaLo,1
ToMe,BrSt,1
ToMe,SLT,2
ToMe,StLPD,2
ToMe,WaPo,2
ToMe,GU,2
CaLo,DaBa,1
CaLo,SuCr,1
CaLo,MaMi,1
CaLo,HaDr,2
CaLo,ToMe,1
CaLo,DarBe,1
CaLo,BaOb,1
CaLo,EBT,2
CaLo,DaFa,3
CaLo,PaC,2
CaLo,CaLe,3
CaLo,StLPD,2
CaLo,RoFa,1
CaLo,PrDe,2
CaLo,WaPo,2
CaLo,KeAr,1
CaLo,BG,2
CaLo,ElSa,3
CaLo,WiHo,3
BrSt,DaBa,2
BrSt,HaDr,1
BrSt,ToMe,1
BrSt,DaBe,3
BrSt,NYT,2
BrSt,ChCh,3
BrSt,ErLi,3
BrSt,KaKi,3
BrSt,JoKa,3
BrSt,MeTw,3
BrSt,RoFa,1
BrSt,WaPo,2
BrSt,JeSa,3
BrSt,JaHa,3
BrSt,AnCo,1
BrSt,MiLa,3
BrSt,AJR,3
BrSt,FaSt,3
BrSt,MaLi,3
BrSt,JosHa,3
DarBe,CaLo,1
DarBe,NYT,2
DarBe,JiMo,1
DarBe,AdZy,2
DarBe,WaPo,2
DarBe,LAT,2
DarBe,JaOh,2
DarBe,KeSi,2
LoTu,NaEl,1
LoTu,CaLo,2
LoTu,WaPo,3
LoTu,MaLi,2
DaBe,ErEy,2
DaBe,NYT,3
DaBe,DaFa,1
DaBe,ChCh,3
DaBe,ST,2
DaBe,ErLi,3
DaBe,DiMa,1
DaBe,WaPo,2
DaBe,ClBa,1
DaBe,MiSl,2
DaBe,LAT,2
DaBe,MaLi,2
DaBe,SePo,2
DaBe,DaEt,2
DaBe,JeRi,2
DaBe,JosHa,2
ErEy,NiNe,1
ErEy,DaFa,1
ErEy,ErLi,1
ErEy,AnCo,2
ErEy,KeAr,1
ErEy,JoHa,2
GeRy,MaWa,3
GeRy,NiNe,1
GeRy,FrOb,2
GeRy,BaOb,2
GeRy,KeHa,2
GeRy,NYT,2
GeRy,ErLi,2
GeRy,WaPo,2
GeRy,ClBa,1
GeRy,RaKaGh,1
GeRy,AnCo,2
GeRy,TCM,2
GeRy,GU,2
GeRy,ChHa,3
GeRy,AnMa,2
MaWa,NiNe,1
MaWa,NYT,2
MaWa,DaFa,1
MaWa,ChCh,1
MaWa,ErLi,2
MaWa,WaPo,2
MaWa,AnCo,1
MaWa,ChHa,2
NiNe,FrOb,2
NiNe,BaOb,2
NiNe,KeHa,2
NiNe,NYT,1
NiNe,DaFa,1
NiNe,ChCh,1
NiNe,JiMo,3
NiNe,ST,2
NiNe,WaPo,1
NiNe,LAT,2
NiNe,LLA,2
NiNe,AnCo,1
NiNe,MiBr,2
NiNe,TCM,1
NiNe,MiLa,2
NiNe,CaFi,1
NiNe,JoHa,2
NiNe,GU,1
NiNe,BG,1
FrOb,KeHa,2
FrOb,NYT,2
FrOb,DaFa,1
FrOb,ErLi,2
FrOb,DiMa,3
FrOb,WaPo,2
FrOb,AnMa,1
FrOb,AnCo,2
FrOb,GU,2
FrOb,JosHa,1
BaOb,KeHa,1
BaOb,NYT,2
BaOb,DaFa,1
BaOb,ErLi,2
BaOb,RoFa,2
BaOb,WaPo,2
BaOb,ClBa,1
BaOb,AnMa,1
BaOb,AnCo,2
BaOb,GU,2
KeHa,NYT,1
KeHa,DaFa,1
KeHa,ST,2
KeHa,PrDe,2
KeHa,WaPo,1
KeHa,ArRe,1
KeHa,AsPr,1
KeHa,AnCo,1
EBT,SLT,2
EBT,NYT,2
EBT,ReKi,2
EBT,AdZy,2
EBT,JoKa,2
EBT,MeTw,2
EBT,PrDe,2
EBT,WaPo,2
EBT,ArRe,2
EBT,JaHa,2
EBT,AsPr,2
EBT,LAT,2
EBT,EmNu,2
EBT,MaLi,2
EBT,SePo,2
EBT,BG,2
EBT,KeSi,2
SLT,NYT,2
SLT,ST,2
SLT,ErLi,2
SLT,CaLe,2
SLT,StLPD,2
SLT,JoKa,2
SLT,MeTw,2
SLT,RoFa,2
SLT,PrDe,2
SLT,WaPo,2
SLT,LAT,2
SLT,EmNu,2
SLT,JaOh,2
SLT,MaLi,2
SLT,SePo,2
SLT,TyHi,2
SLT,GU,2
SLT,BG,2
SLT,JosHa,2
NYT,DaFa,2
NYT,ChCh,3
NYT,PeNo,2
NYT,HiAl,2
NYT,JiMo,2
NYT,JaWa,2
NYT,PaC,2
NYT,ST,2
NYT,ErLi,3
NYT,RoKu,2
NYT,ReKi,1
NYT,CaLe,1
NYT,DiMa,2
NYT,LiFa,1
NYT,KaKi,3
NYT,AdZy,2
NYT,StLPD,2
NYT,JoKa,3
NYT,MeTw,3
NYT,RoFa,2
NYT,WaPo,2
NYT,UsTo,2
NYT,CiEn,2
NYT,ClBa,1
NYT,AnMa,1
NYT,RaKaGh,3
NYT,JoAr,1
NYT,JeSa,2
NYT,AnDo,2
NYT,JaHa,3
NYT,MiSl,3
NYT,RyKe,1
NYT,AsPr,2
NYT,LAT,2
NYT,LLA,1
NYT,AnCo,2
NYT,MiBr,1
NYT,TCM,2
NYT,KeAr,2
NYT,MiLa,3
NYT,CaFi,1
NYT,LiGa,1
NYT,AJR,3
NYT,KaSc,2
NYT,FaSt,3
NYT,EmNu,2
NYT,BrGl,2
NYT,JaOh,1
