id,name,sex,age,study,category,country,type
AsPr,Associated Press,99,99,99,1,1,2
LAT,Los Angeles Times,99,99,99,2,1,2
LLA,Leonora LaPeter Anton,2,4,1,3,1,1
AnCo,Anthony Cormier,1,3,1,3,1,1
MiBr,Michael Braga,1,4,4,3,1,1
TCM,T. Christian Miller,1,4,4,4,1,1
KeAr,Ken Armstrong,1,4,1,4,1,1
MiLa,Michael LaForgia,1,2,4,5,1,1
CaFi,Cara Fitzpatrick,2,2,1,5,1,1
LiGa,Lisa Gartner,2,2,1,5,1,1
WAPO,Washington Post,99,99,99,6,99,2
AJR,Alissa J. Rubin,2,5,3,7,1,1
KaSc,Kathryn Schulz,2,3,4,8,1,1
FaSt,Farah Stockman,2,3,1,9,1,1
EmNu,Emily Nussbaum,2,4,1,10,1,1
JoHa,John Hackworth,1,5,1,11,1,1
BrGl,Brian Gleason,1,4,4,11,99,1
JaOh,Jack Ohman,1,4,99,12,1,1
MaLi,Mauricio Lima,1,3,4,13,3,1
SePo,Sergey Ponomarev,1,2,1,13,3,1
TyHi,Tyler Hicks,1,4,1,13,3,1
DaEt,Daniel Etter,1,2,2,13,2,1
RE,Reuters,99,99,99,13,99,2
JeRi,Jessica Rinaldi,2,3,1,14,99,1
